,Player Name,First serve,First Serve Points Won,1st Serve Return Points Won,2nd Serve Points Won,2nd Serve Return Points Won,Aces,Break Points Converted,Break Points Faced,Break Points Opportunities,Break Points Saved,Double Faults,Return Games Played,Return Games Won %,Return Points Won,Service Games Played,Service Games Won %,Total Points Won,Total Service Points Won,BreakPoints Won,BreakPoints Saved,Return Games Won,Service Games Won
33,Christopher Eubanks,0.69,0.74,22%,0.52,46%,498,0.35,247,205,0.65,128,584,0.12,0.31,598,0.86,0.5,0.67,86.0,133.0,70.0,514.0
34,Aslan Karatsev,0.59,0.75,27%,0.5,47%,258,0.38,265,247,0.65,212,509,0.19,0.35,520,0.82,0.5,0.65,101.0,161.0,97.0,426.0
35,Arthur Fils,0.61,0.74,28%,0.5,49%,245,0.38,224,234,0.63,126,456,0.2,0.35,461,0.82,0.5,0.65,85.0,147.0,91.0,378.0
36,Borna Coric,0.6,0.74,29%,0.49,45%,159,0.35,224,207,0.59,70,430,0.17,0.35,426,0.78,0.49,0.64,78.0,122.0,73.0,332.0
37,Daniel Evans,0.59,0.71,30%,0.52,48%,167,0.37,272,270,0.61,121,485,0.21,0.37,479,0.78,0.5,0.63,101.0,165.0,102.0,374.0
38,Roman Safiullin,0.64,0.73,29%,0.52,50%,230,0.44,234,232,0.62,135,473,0.22,0.37,481,0.81,0.51,0.65,103.0,144.0,104.0,390.0
39,Alexei Popyrin,0.62,0.76,26%,0.5,46%,466,0.32,284,291,0.66,134,617,0.15,0.33,615,0.84,0.5,0.66,91.0,192.0,93.0,517.0
40,Mackenzie McDonald,0.64,0.69,29%,0.51,53%,262,0.43,335,344,0.59,127,622,0.24,0.38,620,0.78,0.5,0.63,144.0,203.0,149.0,484.0
41,Andy Murray,0.61,0.71,29%,0.51,50%,153,0.32,228,256,0.61,74,446,0.19,0.36,445,0.8,0.5,0.64,73.0,156.0,85.0,356.0
42,Sebastian Ofner,0.57,0.71,29%,0.47,51%,160,0.4,218,188,0.58,86,342,0.22,0.37,340,0.73,0.49,0.61,87.0,109.0,75.0,248.0
43,Matteo Arnaldi,0.58,0.69,28%,0.54,52%,167,0.41,249,191,0.69,99,389,0.2,0.37,396,0.8,0.5,0.63,102.0,132.0,78.0,317.0
44,Max Purcell,0.6,0.72,27%,0.47,46%,231,0.37,223,155,0.67,65,340,0.17,0.34,334,0.78,0.48,0.62,83.0,104.0,58.0,261.0
45,Lorenzo Sonego,0.66,0.73,27%,0.52,47%,297,0.39,326,294,0.65,109,665,0.17,0.35,665,0.83,0.5,0.66,127.0,191.0,113.0,552.0
46,Yoshihito Nishioka,0.63,0.65,26%,0.55,52%,85,0.39,286,292,0.53,77,530,0.21,0.36,524,0.74,0.49,0.62,112.0,155.0,111.0,388.0
47,Alexander Shevchenko,0.59,0.69,27%,0.5,49%,140,0.41,246,206,0.6,84,398,0.21,0.36,399,0.75,0.49,0.61,101.0,124.0,84.0,299.0
48,Stan Wawrinka,0.56,0.76,27%,0.54,47%,362,0.39,278,302,0.64,88,591,0.2,0.35,602,0.83,0.51,0.66,108.0,193.0,118.0,500.0
49,Botic van de Zandschulp,0.63,0.69,31%,0.47,50%,239,0.36,354,335,0.62,151,530,0.23,0.38,529,0.75,0.5,0.61,127.0,208.0,122.0,397.0
